name	has_participant_tsv	has_participant_json	participant_columns	has_phenotype_dir	has_mri	nb_subjects	raw	fmriprep	freesurfer	mriqc
ds000221	True	False	['participant_id', 'gender', 'age (5-year bins)']	False	True	318	https://github.com/OpenNeuroDatasets/ds000221	n/a	n/a	n/a
ds000222	True	False	['participant_id', 'group', 'age', 'sex', 'raven_score', 'raven_percent', 'height', 'weight', 'oneback', 'twoback', 'threeback']	False	True	79	https://github.com/OpenNeuroDatasets/ds000222	n/a	n/a	https://github.com/OpenNeuroDatasets/ds000222/tree/main/derivatives/mriqc
ds000223	True	False	['participant_id']	False	True	19	https://github.com/OpenNeuroDatasets/ds000223	n/a	n/a	https://github.com/OpenNeuroDatasets/ds000223/tree/main/derivatives/mriqc
ds000224	True	True	['participant_id', 'gender', 'age', 'education_degree', 'education_years']	True	True	10	https://github.com/OpenNeuroDatasets/ds000224	n/a	n/a	https://github.com/OpenNeuroDatasets/ds000224/tree/main/derivatives/mriqc
ds000228	True	True	['participant_id', 'Age', 'AgeGroup', 'Child_Adult', 'Gender', 'Handedness', 'ToM Booklet-Matched', 'ToM Booklet-Matched-NOFB', 'FB_Composite', 'FB_Group', 'WPPSI BD raw', 'WPPSI BD scaled', 'KBIT_raw', 'KBIT_standard', 'DCCS Summary', 'Scanlog: Scanner', 'Scanlog: Coil', 'Scanlog: Voxel slize', 'Scanlog: Slice Gap']	False	True	155	https://github.com/OpenNeuroDatasets/ds000228	n/a	n/a	https://github.com/OpenNeuroDatasets/ds000228/tree/main/derivatives/mriqc
ds000229	True	False	['participant_id', 'sex', 'age', 'bmi']	False	True	15	https://github.com/OpenNeuroDatasets/ds000229	n/a	n/a	https://github.com/OpenNeuroDatasets/ds000229/tree/main/derivatives/mriqc
ds000231	True	False	['participant_id', 'sex', 'age', 'bmi']	False	True	9	https://github.com/OpenNeuroDatasets/ds000231	n/a	n/a	https://github.com/OpenNeuroDatasets/ds000231/tree/main/derivatives/mriqc
ds000232	True	False	['participant_id', 'age', 'sex']	False	True	10	https://github.com/OpenNeuroDatasets/ds000232	n/a	n/a	https://github.com/OpenNeuroDatasets/ds000232/tree/main/derivatives/mriqc
ds000233	True	False	['participant_id', 'age', 'sex', 'group']	False	True	12	https://github.com/OpenNeuroDatasets/ds000233	n/a	n/a	https://github.com/OpenNeuroDatasets/ds000233/tree/main/derivatives/mriqc
ds000234	True	False	['participant_id', 'age', 'sex']	False	True	5	https://github.com/OpenNeuroDatasets/ds000234	n/a	n/a	https://github.com/OpenNeuroDatasets/ds000234/tree/main/derivatives/mriqc
ds000235	True	False	['participant_id', 'age', 'sex']	False	True	4	https://github.com/OpenNeuroDatasets/ds000235	n/a	n/a	https://github.com/OpenNeuroDatasets/ds000235/tree/main/derivatives/mriqc
ds000236	True	False	['participant_id', 'age', 'sex']	False	True	18	https://github.com/OpenNeuroDatasets/ds000236	n/a	n/a	https://github.com/OpenNeuroDatasets/ds000236/tree/main/derivatives/mriqc
ds000237	False	False	n/a	False	True	13	https://github.com/OpenNeuroDatasets/ds000237	n/a	n/a	https://github.com/OpenNeuroDatasets/ds000237/tree/main/derivatives/mriqc
ds000238	True	False	['participant_id', 'age', 'sex', 'handedness', 'design_order1', 'design_order2', 'design_order3', 'design_order4', 'design_order5']	False	True	35	https://github.com/OpenNeuroDatasets/ds000238	n/a	n/a	n/a
ds000239	True	True	['participant_id', 'gender', 'age']	False	True	3	https://github.com/OpenNeuroDatasets/ds000239	n/a	n/a	n/a
ds000240	True	False	['participant_id', 'Age', 'Gender', 'MMSE', 'CERAD word list', 'WMS-III logical memory I', 'WSM-III logical memory II', 'WAIS-III digits test', 'CERAD Constructional praxis', 'CERAD Construtional praxis (delayed)', 'STROOP reading', 'STROOP color', 'STROOP interference', 'TMT A', 'TMT B', 'Phonetic fluency', 'Semantic fluency', 'BNT']	False	True	63	https://github.com/OpenNeuroDatasets/ds000240	n/a	n/a	n/a
ds000241	False	False	n/a	False	True	12	https://github.com/OpenNeuroDatasets/ds000241	n/a	n/a	https://github.com/OpenNeuroDatasets/ds000241/tree/main/derivatives/mriqc
ds000243	True	False	['participant_id', 'Age', 'Gender', 'Handedness', 'Native English Only', 'Total rest minutes']	False	True	120	https://github.com/OpenNeuroDatasets/ds000243	n/a	n/a	https://github.com/OpenNeuroDatasets/ds000243/tree/main/derivatives/mriqc
ds000244	True	False	['participant_id', 'sex', 'age', 'handedness score']	False	True	12	https://github.com/OpenNeuroDatasets/ds000244	n/a	n/a	n/a
ds000245	True	False	['participant_id', 'Age', 'Gender', 'ACER', 'MMSE', 'OSITJ']	False	True	45	https://github.com/OpenNeuroDatasets/ds000245	n/a	n/a	n/a
ds000246	True	True	['participant_id', 'age', 'sex', 'dominant_hand']	False	True	2	https://github.com/OpenNeuroDatasets/ds000246	n/a	n/a	n/a
ds000247	True	True	['participant_id', 'age', 'sex', 'dominant_hand']	False	True	6	https://github.com/OpenNeuroDatasets/ds000247	n/a	https://github.com/OpenNeuroDatasets/ds000247/tree/main/derivatives/freesurfer	n/a
ds000248	True	True	['participant_id', 'age', 'sex', 'hand']	False	True	2	https://github.com/OpenNeuroDatasets/ds000248	n/a	https://github.com/OpenNeuroDatasets/ds000248/tree/main/derivatives/freesurfer	n/a
ds000249	True	False	['participant_id', 'age', 'gender_F']	False	True	26	https://github.com/OpenNeuroDatasets/ds000249	n/a	n/a	https://github.com/OpenNeuroDatasets/ds000249/tree/main/derivatives/mriqc
ds000253	True	False	['participant_id', 'group', 'ageAtFirstScanYears', 'handedness', 'sex', 'EstimateOfHoursPlayingActionVideoGamesPerweekInLastYear']	False	True	20	https://github.com/OpenNeuroDatasets/ds000253	n/a	n/a	https://github.com/OpenNeuroDatasets/ds000253/tree/main/derivatives/mriqc
ds000254	True	False	['participant_id', 'sex', 'age', 'handedness']	False	True	13	https://github.com/OpenNeuroDatasets/ds000254	n/a	n/a	n/a
ds000255	False	False	n/a	False	True	2	https://github.com/OpenNeuroDatasets/ds000255	n/a	n/a	n/a
ds000256	True	False	['participant_id', 'age', 'sex', 'group']	False	True	24	https://github.com/OpenNeuroDatasets/ds000256	n/a	n/a	https://github.com/OpenNeuroDatasets/ds000256/tree/main/derivatives/mriqc
ds000258	False	False	n/a	False	True	89	https://github.com/OpenNeuroDatasets/ds000258	n/a	n/a	n/a
ds001019	False	False	n/a	False	True	35	https://github.com/OpenNeuroDatasets/ds001019	n/a	n/a	n/a
ds001021	True	False	['participant_id', 'age', 'sex', 'handedness']	False	True	1	https://github.com/OpenNeuroDatasets/ds001021	n/a	n/a	n/a
ds001037	False	False	n/a	False	True	1	https://github.com/OpenNeuroDatasets/ds001037	n/a	n/a	n/a
ds001105	False	False	n/a	False	True	28	https://github.com/OpenNeuroDatasets/ds001105	n/a	n/a	n/a
ds001107	False	False	n/a	False	False	0	https://github.com/OpenNeuroDatasets/ds001107	n/a	n/a	n/a
ds001110	True	False	['participant_id', 'sex', 'age', 'mem_score']	False	True	37	https://github.com/OpenNeuroDatasets/ds001110	n/a	n/a	n/a
ds001131	True	False	['participant_id', 'sex', 'age']	False	True	54	https://github.com/OpenNeuroDatasets/ds001131	n/a	n/a	n/a
